iter	Passed	Remaining
718	27264	10655
719	27303	10618
720	27336	10578
721	27372	10539
722	27409	10501
723	27441	10461
724	27477	10422
725	27512	10383
726	27546	10344
727	27584	10306
728	27615	10265
729	27649	10226
730	27689	10189
731	27724	10150
732	27759	10111
733	27794	10072
734	27831	10034
735	27867	9995
736	27906	9958
737	27942	9919
738	27976	9880
739	28011	9841
740	28046	9802
741	28080	9763
742	28120	9726
743	28152	9687
744	28186	9647
745	28222	9609
746	28258	9570
747	28291	9531
748	28327	9493
749	28361	9453
750	28396	9414
751	28429	9375
752	28463	9336
753	28501	9299
754	28541	9261
755	28576	9223
756	28608	9183
757	28646	9145
758	28680	9106
759	28716	9068
760	28753	9030
761	28785	8990
762	28820	8951
763	28857	8914
764	28897	8877
765	28936	8839
766	28972	8801
767	29005	8762
768	29043	8724
769	29078	8685
770	29112	8646
771	29145	8607
772	29181	8569
773	29215	8530
774	29249	8491
775	29284	8453
776	29324	8416
777	29357	8377
778	29394	8339
779	29430	8300
780	29467	8262
781	29503	8224
782	29536	8185
783	29572	8147
784	29607	8109
785	29650	8072
786	29695	8036
787	29733	7999
788	29769	7961
789	29806	7923
790	29840	7884
791	29875	7846
792	29915	7808
793	29950	7770
794	29986	7732
795	30025	7694
796	30060	7656
797	30095	7618
798	30136	7581
799	30167	7541
800	30202	7503
801	30240	7465
802	30276	7427
803	30309	7388
804	30348	7351
805	30386	7313
806	30423	7276
807	30458	7237
808	30494	7199
809	30535	7162
810	30568	7123
811	30601	7085
812	30636	7046
813	30673	7008
814	30708	6970
815	30743	6932
816	30777	6893
817	30811	6855
818	30845	6816
819	30882	6779
820	30923	6742
821	30962	6704
822	30996	6666
823	31030	6627
824	31069	6590
825	31100	6551
826	31134	6513
827	31173	6475
828	31207	6437
829	31239	6398
830	31276	6360
831	31311	6322
832	31351	6285
833	31388	6247
834	31421	6209
835	31455	6170
836	31495	6133
837	31530	6095
838	31569	6058
839	31605	6020
840	31638	5981
841	31673	5943
842	31708	5905
843	31748	5868
844	31787	5830
845	31823	5792
846	31858	5754
847	31899	5717
848	31932	5679
849	31967	5641
850	32005	5603
851	32039	5565
